findt_1,findt_2,findt_3,findt_4,findt_5, ,cleart_1,cleart_2,cleart_3,cleart_4,cleart_5,
0.176001,0.178001,0.189614,0.199007,0.190991, ,0,0,0.004002,0.005006,0.004994,
0.388858,0.379373,0.340551,0.366194,0.365858, ,0.00798,0.008008,0.007969,0.006002,0.032046,
0.940708,0.899171,0.9161,0.904304,0.914009, ,0.012995,0.022951,0.024015,0.025113,0.019992,
1.53478,1.45183,1.49561,1.44434,1.48186, ,0.038004,0.022512,0.033039,0.019144,0.023249,
1.88231,1.87879,1.78529,1.81625,1.82205, ,0.041958,0.043978,0.055031,0.042019,0.028005,
3.65177,3.67839,3.81242,3.78776,3.75555, ,0.080682,0.081472,0.035977,0.064866,0.125463,
