findt_1,findt_2,findt_3,findt_4,findt_5, ,cleart_1,cleart_2,cleart_3,cleart_4,cleart_5,
1.73354,1.64688,1.65441,1.50999,1.87431, ,0.134401,0.152929,0.111584,0.113054,0.145006,
3.50999,3.50378,3.45193,3.17433,3.21201, ,0.277862,0.233755,0.24038,0.21381,0.228779,
8.8547,8.64758,8.17281,8.63351,8.76745, ,0.626648,0.644341,0.602479,0.668913,0.71951,
13.3421,13.5104,13.8667,13.5208,14.1012, ,1.13827,1.00789,1.01733,1.09628,0.912053,
16.6632,16.7321,16.9128,17.1004,16.6601, ,1.32571,1.28134,1.29356,1.29936,1.22452,
33.9073,33.6062,33.7176,34.398,33.5154, ,2.65311,2.45655,2.47664,2.69568,2.54496,
